title,description,content,url,image,publishedAt,source
"ChatGPT is 80% effective at identifying Alzheimer’s disease, study shows","ChatGPT could, a new study claims, be used to help spot telltale early signs of Alzheimer's disease through spontaneous speech.","The Drexel study, published in the journal PLOS Digital Health, is the latest in a series of efforts to show the value of natural language processing tools for the early detection and prediction of Alzheimer's. It builds on recent research that sugge... [1786 chars]",https://interestingengineering.com/innovation/chatgpts-ai-alzheimers-disease-diagnosis,https://inteng-storage-us.s3.amazonaws.com/2022/12/28/image/jpeg/Aq1juqCtf81FFz95aE9TjZw2xrzHQwJyEEQahpCF.jpg,2022-12-27T09:12:13Z,"{'name': 'Interesting Engineering', 'url': 'https://interestingengineering.com'}"
"Students using ChatGPT to cheat, professor warns","Darren Hick, an assistant professor of philosophy at Furman University in South Carolina, is sounding the alarm after a student attempted to pass off the relatively sophisticated work of new artificial intelligence chat bot ChatGPT as their own.","Welcome to the new age of academic dishonesty.
A college professor in South Carolina is sounding the alarm after catching a student using ChatGPT — a new artificial intelligence chat bot that can quickly digest and spit out written information about ... [3345 chars]",https://nypost.com/2022/12/26/students-using-chatgpt-to-cheat-professor-warns/,https://nypost.com/wp-content/uploads/sites/2/2022/12/ai-chat-gptprofessor.jpg?quality=75&strip=all&w=1024,2022-12-26T22:16:17Z,"{'name': 'New York Post', 'url': 'https://nypost.com'}"
Google declares a ‘Code Red’ to build a rival for ChatGPT,"Google is the dominant power in the search industry, but its dominance is threatened by the A.I. chatbot ChatGPT. As per a report by The New York Times,","Google is the dominant power in the search industry, but its dominance is threatened by the A.I. chatbot ChatGPT. As per a report by The New York Times, the search giant has declared a “Code Red” to build a rival for ChatGPT and other AI-driven chatb... [1994 chars]",https://www.androidheadlines.com/2022/12/google-declares-code-red-to-build-a-rival-for-chatgpt.html,https://www.androidheadlines.com/wp-content/uploads/2022/10/Made-by-google-logo-AM-AH.jpg,2022-12-26T14:50:47Z,"{'name': 'Android Headlines', 'url': 'https://www.androidheadlines.com'}"
Top 5 stories of the week: ChatGPT and cybersecurity predictions,"This week, VentureBeat readers were consuming coverage in two keys --- as reflected in our Top 5 stories of the week --- AI and security.","Check out all the on-demand sessions from the Intelligent Security Summit here.
While others were shopping and decorating for the holidays, VentureBeat readers didn’t check out for Christmas cheer this week. Rather, they were consuming coverage in tw... [3488 chars]",https://venturebeat.com/ai/top-5-stories-of-the-week-visions-of-ai-and-security-danced-in-readers-heads/,https://venturebeat.com/wp-content/uploads/2022/12/top_5.jpg?w=1200&strip=all,2022-12-24T18:58:08Z,"{'name': 'VentureBeat', 'url': 'https://venturebeat.com'}"
I Made ChatGPT Plan My Christmas,"I decked the halls with boughs of artificially intelligent holly, and it went... ok. Here's what happened.","As 2022 stumbles towards its conclusion, Christmas time is with us once again. I’m warming my feet by the fireplace, the family dog is drifting off to sleep beside me, and the sounds of a petty argument between my brother and sister waft in gently fr... [1270 chars]",https://gizmodo.com/what-a-chatbot-ai-recommends-for-planning-christmas-1849926975,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/e2d8ea2303baef61a89bd4bda12acc77.jpg",2022-12-23T21:49:00Z,"{'name': 'Gizmodo', 'url': 'https://gizmodo.com'}"
Google has everything it needs to counter ChatGPT,ChatGPT's ability to respond to questions in a direct manner has led some to proclaim that AI chat will kill Google Search...,"ChatGPT’s ability to respond to questions in a conversational and direct manner has led some to proclaim that AI chat will kill the traditional search engine. Google is seriously responding to this, and – from what it’s already shown off – should be ... [7125 chars]",https://9to5google.com/2022/12/23/google-ai-chatgpt/,https://i0.wp.com/9to5google.com/wp-content/uploads/sites/4/2022/12/Google-AI-ChatGPT-cover.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2022-12-23T19:53:50Z,"{'name': '9to5Google', 'url': 'https://9to5google.com'}"
Search Engine You.com Launches ChatGPT-Style Chatbot,"The site works like OpenAI's ChatGPT, which went viral earlier this year for its unique and realistic responses from a computer program.","You.com, a search engine launched last year promising more customizability, began offering a ChatGPT-style chatbot on its website Friday that can answer questions and hold a conversation, bringing more artificial intelligence-powered technology to th... [2270 chars]",https://www.cnet.com/tech/services-and-software/search-engine-you-com-launches-chatgpt-style-chatbot/,https://www.cnet.com/a/img/resize/19f21a6b46fdef2bb31f976c21098bb374852ca1/hub/2021/11/08/cb9ecb09-6400-4092-9599-3488b9a69610/you-com-landing-page.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-23T19:22:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
How much is OpenAI worth? Here’s what you need to know about the creator of ChatGPT,"TechStartups - Coverage of Technology News, technology startups, Emerging technology, venture capital funding, and Silicon Valley","We’re living in extraordinary times of artificial intelligence (AI). Things you saw in Sci-fi movies years ago are already becoming a reality. Two years ago, OpenAI shocked the world with the launch of its Generative Pre-trained Transformer 3 (popula... [5661 chars]",https://techstartups.com/2022/12/23/much-really-openai-worth-heres-know-creator-chatgpt/,https://techstartups.com/wp-content/uploads/2022/12/How-Much-is-OpenAi-Worth.jpg,2022-12-23T18:53:27Z,"{'name': 'TechStartups.com', 'url': 'https://techstartups.com'}"
Quora launches Poe for talking to AI chatbots like ChatGPT,The Q&A website Quora has launched a platform called Poe that allows users to talk to AI chatbots and get instant answers. The Poe stands for,"The Q&A website Quora has launched a platform called Poe that allows users to talk to AI chatbots and get instant answers. The Poe stands for “Platform for Open Exploration,” and it’s invite-only for iOS users.
A Quora spokesperson told TechCrunch Po... [1921 chars]",https://www.androidheadlines.com/2022/12/quora-launches-poe-ai-chatbots-like-chatgpt.html,https://www.androidheadlines.com/wp-content/uploads/2022/12/BJtJZ2H6mghM7zHD6RFPsf-1200-80.png.webp,2022-12-23T17:51:17Z,"{'name': 'Android Headlines', 'url': 'https://www.androidheadlines.com'}"
"Why Everyone's Obsessed With ChatGPT, a Mind-Blowing AI Chatbot",This artificial intelligence bot can answer questions and write essays and program computers. But careful how much you trust it.,"There's a new AI bot in town: ChatGPT, and even if you're not into artificial intelligence, you'd better pay attention.
The tool, from a power player in artificial intelligence called OpenAI, lets you type questions using natural language, to which t... [12527 chars]",https://www.cnet.com/tech/computing/why-everyones-obsessed-with-chatgpt-a-mind-blowing-ai-chatbot/,https://www.cnet.com/a/img/resize/084641681c8362c3ce0c3eb8a53365351adcaaac/hub/2022/12/06/3dd7180c-d0e7-47ca-bc37-b5df15a41a25/ai-chat-gettyimages.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-23T13:00:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
"Why Everyone's Obsessed With ChatGPT, a Mind-Blowing AI Chatbot",This artificial intelligence bot can answer questions and write essays and program computers. But careful how much you trust it.,"There's a new AI bot in town: ChatGPT, and even if you're not into artificial intelligence, you'd better pay attention.
The tool, from a power player in artificial intelligence called OpenAI, lets you type questions using natural language, to which t... [12527 chars]",https://www.cnet.com/tech/computing/why-everyones-obsessed-with-chatgpt-a-mind-blowing-ai-chatbot/,https://www.cnet.com/a/img/resize/084641681c8362c3ce0c3eb8a53365351adcaaac/hub/2022/12/06/3dd7180c-d0e7-47ca-bc37-b5df15a41a25/ai-chat-gettyimages.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-23T13:00:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
Artificial intelligence chatbots: Exciting breakthrough or dangerous tool?,Vivek Wadhwa didn't take the warnings about ChatGPT seriously–until his son asked it about their family.,"The most significant breakthrough of 2022 wasn’t nuclear fusion, which is still decades away from being a reality, but the advent of artificially intelligent chatbots.
Former U.S. Treasury Secretary Lawrence Summers even declared that one of these ch... [5364 chars]",https://fortune.com/2022/12/23/artificial-intelligence-chatbots-exciting-breakthrough-dangerous-tool-vivek-wadhwa/,"https://content.fortune.com/wp-content/uploads/2022/12/GettyImages-1245391800-e1670623832316.jpg?resize=1200,600",2022-12-23T05:00:00Z,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
Alphabet's Google issues 'code red' following ChatGPT launch,Alphabet's Google issues 'code red' following ChatGPT launch,"© Reuters Alphabet's (GOOGL) Google issues 'code red' following ChatGPT launch
GOOGL +1.76% Add to/Remove from Watchlist
By Sam Boughedda
According to a report by The New York Times on Friday, Google's (NASDAQ: ) management has issued a ""code red"" fo... [887 chars]",https://www.investing.com/news/stock-market-news/alphabets-google-issues-code-red-following-chatgpt-launch-432SI-2969837,https://i-invdn-com.investing.com/news/moved_LYNXMPEHB50G1_L.jpg,2022-12-23T05:00:00Z,"{'name': 'Investing.com', 'url': 'https://www.investing.com'}"
"ChatGPT Caused 'Code Red' at Google, Report Says","ChatGPT can deliver direct answers quickly, not pages of endless links. That's reportedly scaring Google.","ChatGPT, an AI chatbot developed by OpenAI that went viral because it can give people direct answers to just about any query possible, apparently has alarm bells ringing at Google, according to a report by the New York Times Wednesday.
A Google execu... [2422 chars]",https://www.cnet.com/tech/services-and-software/chatgpt-caused-code-red-at-google-report-says/,https://www.cnet.com/a/img/resize/79dea1a6daaaf0088f17034b0c88e5e0aa4d8aa8/hub/2021/07/12/aab56934-c14e-4cf8-a4d8-2ea9941c7984/google-logo-0011.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-22T19:22:39Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
Here's What It Sounds Like When AI Writes Christmas Lyrics,"AI chatbot ChatGPT is everywhere right now, including in the studio with a folk-punk singer collaborating on holiday songs.","""Santa's back in town, with a mighty sack. He's ready to fight against the fascists' attack."" Those lyrics probably won't be on the lips of many carolers this Christmas, but as far as songs about St. Nick and authoritarianism go, they're pretty catch... [2320 chars]",https://www.cnet.com/culture/entertainment/heres-what-it-sounds-like-when-ai-writes-christmas-lyrics/,https://www.cnet.com/a/img/resize/769d56a3f04ac0c66bc29ea1e92fe396e4d43224/hub/2022/12/21/8256515d-8101-49e6-8377-28eee335eb4d/15-christmas-xmas-holidays-2020-intimate-staycation-family-alone-couple-empty-stocking-presents-gifts-tree-1.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-22T18:04:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
ChatGPT Can Write Better Essays Than My College Students. That's a Good Thing | Opinion,"Time for a new final exam, one that demands students find out something about themselves and tell it to you in a voice that is their own.","There has been a lot of hand-wringing from humanities types over ChatGPT, an artificial intelligence chatbot that can produce uncannily human prose. Headlines bemoaning the impact this will have on education and writing have abounded, from ""The Colle... [5032 chars]",https://www.newsweek.com/chatgpt-can-write-better-essays-my-college-students-thats-good-thing-opinion-1769136,https://d.newsweek.com/en/full/2169514/chatgpt.jpg,2022-12-22T17:41:45Z,"{'name': 'Newsweek', 'url': 'https://www.newsweek.com'}"
Google's Working To Protect Search From ChatGPT,New reporting claims Google reassigned employees to build out new AI prototypes and products ahead of a May conference.,"Google is reportedly ramping up work behind the scenes to close the technological gap with OpenAI’s ChatGPT model, an advanced chatbot capable of churning out conversational answers which some critics warn could pose the most significant threat to Go... [3106 chars]",https://gizmodo.com/google-openai-chatgpt-google-search-1849922839,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/a2a4e04816ddcdbe1d452ce5224e4ee8.jpg",2022-12-22T17:15:00Z,"{'name': 'Gizmodo', 'url': 'https://gizmodo.com'}"
"Google at 'code red' over ChatGPT, plans competing AI products","Google is at ""code red"" and seriously responding to ChatGPT by reassigning various teams ""to help develop and release new A.I. prototypes...","Google is at a “code red” and seriously responding to ChatGPT by reassigning various departments “to help develop and release new A.I. prototypes and products.”
ChatGPT is currently the most famous example of technology that can directly answer your ... [1693 chars]",https://9to5google.com/2022/12/21/google-code-red-chatgpt/,https://i0.wp.com/9to5google.com/wp-content/uploads/sites/4/2022/08/google-store-chelsea-2-logo.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2022-12-22T07:00:00Z,"{'name': '9to5Google', 'url': 'https://9to5google.com'}"
What is ChatGPT - I just interviewed the AI chatbot to find out,I conducted an interview with ChatGPT in ChatGPT to see how the conversational AI views its functionality and test some of its capabilities.,"ChatGPT has been blowing up the internet recently. In fact, AI applications as a whole have really dominated the news cycle of late.
There is the Lensa AI app , which our own Kate Kozuch tested to see how AI would choose to make her more “beautiful.”... [8588 chars]",https://www.tomsguide.com/news/what-is-chatgpt-heres-what-it-told-me,https://cdn.mos.cms.futurecdn.net/qM8BqXkaJCqx2LVi3s6SfE-1200-80.jpg,2022-12-22T05:30:07Z,"{'name': ""Tom's Guide"", 'url': 'https://www.tomsguide.com'}"
Here's What It Sounds Like When ChatGPT Writes a Christmas Album,"The AI chatbot is everywhere right now, including in the studio with a folk-punk singer collaborating on holiday songs.","""Santa's back in town, with a mighty sack. He's ready to fight against the fascists' attack."" Those lyrics probably won't be on the lips of many carolers this Christmas, but as far as songs about St. Nick and authoritarianism go, they're pretty catch... [2317 chars]",https://www.cnet.com/culture/entertainment/heres-what-it-sounds-like-when-chatgpt-writes-a-christmas-album/,https://www.cnet.com/a/img/resize/769d56a3f04ac0c66bc29ea1e92fe396e4d43224/hub/2022/12/21/8256515d-8101-49e6-8377-28eee335eb4d/15-christmas-xmas-holidays-2020-intimate-staycation-family-alone-couple-empty-stocking-presents-gifts-tree-1.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-22T00:58:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
Here's What It Sounds Like When ChatGPT Writes a Christmas Album,"The AI chatbot is everywhere right now, including in the studio with a folk-punk singer collaborating on holiday songs.","""Santa's back in town, with a mighty sack. He's ready to fight against the fascists' attack."" Those lyrics probably won't be on the lips of many carolers this Christmas, but as far as songs about St. Nick and authoritarianism go, they're pretty catch... [2317 chars]",https://www.cnet.com/culture/entertainment/heres-what-it-sounds-like-when-chatgpt-writes-a-christmas-album/,https://www.cnet.com/a/img/resize/769d56a3f04ac0c66bc29ea1e92fe396e4d43224/hub/2022/12/21/8256515d-8101-49e6-8377-28eee335eb4d/15-christmas-xmas-holidays-2020-intimate-staycation-family-alone-couple-empty-stocking-presents-gifts-tree-1.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-22T00:58:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
"Quora launches Poe, a way to talk to AI chatbots like ChatGPT","Quora is testing an app called Poe that provides a way to talk to different AI chatbots, including ChatGPT.","Signaling its interest in text-generating AI systems like ChatGPT, Quora this week launched a platform called Poe that lets people ask questions, get instant answers and have a back-and-forth dialogue with AI.
Short for “Platform for Open Exploration... [4710 chars]",https://techcrunch.com/2022/12/21/quora-launches-poe-a-way-to-talk-to-ai-chatbots-like-chatgpt/,"https://techcrunch.com/wp-content/uploads/2022/12/Screenshot-18-1.png?resize=1200,520",2022-12-21T18:57:14Z,"{'name': 'TechCrunch', 'url': 'https://techcrunch.com'}"
Why ChatGPT is having an iPhone moment (with a unique twist),"Exactly three weeks ago, OpenAI released ChatGPT. This moment is reminiscent of the iPhone, says Forrester AI analyst Rowan Curran.","Check out all the on-demand sessions from the Intelligent Security Summit here.
Exactly three weeks ago, OpenAI released ChatGPT.
Since then, it has been nearly impossible to keep up with both the hyped-up excitement and brow-furrowing concerns aroun... [5300 chars]",https://venturebeat.com/ai/why-this-chatgpt-moment-harks-back-to-the-original-iphone/,https://venturebeat.com/wp-content/uploads/2022/12/Untitled-design.png?w=1200&strip=all,2022-12-21T17:27:21Z,"{'name': 'VentureBeat', 'url': 'https://venturebeat.com'}"
"Why We're All Obsessed with ChatGPT, a Mind-Blowing AI Chatbot","This artificial intelligence bot can answer questions and write essays, poems and computer programs. Careful how much you trust it, though.","There's a new AI bot in town: ChatGPT. Even if you're not into artificial intelligence, you'd better pay attention.
The tool, from a power player in artificial intelligence called OpenAI, lets you type questions using natural language that the chatbo... [12370 chars]",https://www.cnet.com/tech/computing/why-were-all-obsessed-with-chatgpt-a-mind-blowing-ai-chatbot/,https://www.cnet.com/a/img/resize/084641681c8362c3ce0c3eb8a53365351adcaaac/hub/2022/12/06/3dd7180c-d0e7-47ca-bc37-b5df15a41a25/ai-chat-gettyimages.jpg?auto=webp&fit=crop&height=630&width=1200,2022-12-21T17:24:00Z,"{'name': 'CNET', 'url': 'https://www.cnet.com'}"
How to Use ChatGPT and Still Be a Good Person,"It’s a turning point for artificial intelligence, and we need to take advantage of these tools without causing harm to ourselves or others.","Understand the limits (and consequences).
First, it’s important to understand how the technology works to know what exactly you’re doing with it.
ChatGPT is essentially a more powerful, fancier version of the predictive text system on our phones, whi... [1570 chars]",https://www.nytimes.com/2022/12/21/technology/personaltech/how-to-use-chatgpt-ethically.html,https://static01.nyt.com/images/2022/12/21/business/21techfix/21techfix-facebookJumbo.jpg,2022-12-21T10:00:19Z,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
A New Chat Bot Is a ‘Code Red’ for Google’s Search Business,A new wave of chat bots like ChatGPT use artificial intelligence that could reinvent or even replace the traditional internet search engine.,"Over the past three decades, a handful of products like Netscape’s web browser, Google’s search engine and Apple’s iPhone have truly upended the tech industry and made what came before them look like lumbering dinosaurs.
Three weeks ago, an experimen... [1092 chars]",https://www.nytimes.com/2022/12/21/technology/ai-chatgpt-google-search.html,https://static01.nyt.com/images/2022/12/20/business/00google-killer/00google-killer-facebookJumbo.jpg,2022-12-21T10:00:16Z,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
It's Not ChatGBT's Time to Shine,"ChatGPT is currently the it-girl of generative artificial intelligence, but the tech needs to lose its hype, mature and then become useful in society.","Help wanted: Someone to keep Twitter running. I'm Diamond Naga Siu, and if I didn't enjoy writing the newsletter so much, I'd definitely throw my hat in the ring.
Elon Musk announced Tuesday that he would step down as CEO of Twitter once he found som... [4467 chars]",https://markets.businessinsider.com/news/stocks/its-not-chatgbts-time-to-shine-yet-heres-why-2022-12,https://i.insider.com/63a2351fae4bde0019501d3e?width=1200&format=jpeg,2022-12-21T05:00:00Z,"{'name': 'Business Insider', 'url': 'https://markets.businessinsider.com'}"
Google Management Issues 'Code Red' Over ChatGPT: Report,CEO Sundar Pichai has reportedly redirected teams to build out new AI products as concerns rise over ChatGPT's threat to Google.,"Google issued a ""code red"" in response to the rise of AI bot ChatGPT, NYT reports.
CEO Sundar Pichai redirected some teams to focus on building out AI products, per the report.
The move comes as talks abound over whether ChatGPT could one day replace... [3613 chars]",https://markets.businessinsider.com/news/stocks/google-management-issues-code-red-over-chatgpt-report-2022-12,https://i.insider.com/635948adfc29ff001a5f7f24?width=1200&format=jpeg,2022-12-21T05:00:00Z,"{'name': 'Business Insider', 'url': 'https://markets.businessinsider.com'}"
Human This Christmas,ChatGPT can program a reader but only mimic a writer.,"I was in the grocery store this week. Everything is holiday music. I love the different genres of Christmas music. In my life, it isn’t the holiday season until the Temptations’ “Silent Night” spills from a public speaker. It isn’t good enough for me... [2203 chars]",https://www.nytimes.com/2022/12/20/opinion/chatgpt-writing-ai.html,https://static01.nyt.com/images/2022/12/20/opinion/20cottom-newsletter/20cottom-newsletter-facebookJumbo.jpg,2022-12-20T20:15:04Z,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
"ChatGPT Will Be Overhyped, Overlooked, and Then, Perhaps, Essential",ChatGPT took over the internet. Some say it could replace Google. But it's going to face disillusionment and boredom before it can do that.,"ChatGPT has been touted as a Google killer and the turning point for AI to enter the mainstream.
It's fascinating to play with, but ChatGPT is still limited, and the backlash has already started.
Emerging technology like ChatGPT is usually called ove... [6797 chars]",https://markets.businessinsider.com/news/stocks/chatgpt-will-be-overhyped-overlooked-and-then-perhaps-essential-2022-12,https://i.insider.com/5ff8a8fabde805001980beed?width=1200&format=jpeg,2022-12-20T05:00:00Z,"{'name': 'Business Insider', 'url': 'https://markets.businessinsider.com'}"
The questions we ought to be asking about ChatGPT,"While we talk about the problems AI is going to create, let’s figure out which ones it can actually solve.","It was hard not to enjoy this new toy, and I was among the many tweeting the results of my own experiments, including a pretty good pitch for a Hallmark Christmas movie about a writing teacher who fears she will lose her job to AI, complete with a te... [5514 chars]",https://www.bostonglobe.com/2022/12/20/opinion/questions-we-ought-be-asking-about-chatgpt/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/pSz3ymQYgTnpp9MTq1w1EE34skI=/506x0/cloudfront-us-east-1.images.arcpublishing.com/bostonglobe/HRWNLSV2FJADRILNCE5ZXHATHU.jpeg,2022-12-20T05:00:00Z,"{'name': 'The Boston Globe', 'url': 'https://www.bostonglobe.com'}"
ChatGPT taught me something powerful about human collaboration,A system that produces plausible paragraphs can chat — but will it ever be able to tell you what you really need to hear?,"ChatGPT is controversial because it’s a leap forward in easy-to-use conversational AI. People are concerned that the technology is ripe for abuse. Although ChatGPT produces errors and spews BS , the quality is good enough to give students a massive e... [8742 chars]",https://www.bostonglobe.com/2022/12/20/opinion/chatgpt-taught-me-something-powerful-about-human-collaboration/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/BdwtTt_LO3OtvA_acU1jwzqHu_Q=/506x0/cloudfront-us-east-1.images.arcpublishing.com/bostonglobe/XVINE36SIFESPKQG54QV7FKWVY.jpeg,2022-12-20T05:00:00Z,"{'name': 'The Boston Globe', 'url': 'https://www.bostonglobe.com'}"
